id,start_date_local,name,type,moving_time,distance,elapsed_time,total_elevation_gain,max_speed,average_speed,has_heartrate,max_heartrate,average_heartrate,average_cadence,calories,device_watts,icu_average_watts,icu_normalized_watts,icu_joules,icu_intensity,icu_training_load,icu_training_load_edited,icu_rpe,pace,icu_fatigue,icu_fitness,icu_eftp,icu_variability,icu_efficiency,trainer,commute,race,sub_type,icu_ftp,icu_w_prime,p_max,threshold_pace,power_load,hr_load,pace_load,icu_resting_hr,lthr,hr_z1,hr_z2,hr_z3,hr_z4,hr_z5,hr_z6,hr_max,hr_z1_secs,hr_z2_secs,hr_z3_secs,hr_z4_secs,hr_z5_secs,hr_z6_secs,hr_z7_secs,z1_secs,z2_secs,z3_secs,z4_secs,z5_secs,z6_secs,z7_secs,sweet_spot_secs,icu_weight,icu_ignore_power,icu_ignore_hr,icu_ignore_time,icu_recording_time,icu_warmup_time,icu_cooldown_time,icu_hrrc,icu_hrrc_start_bpm,icu_power_spike_threshold,icu_pm_ftp,icu_pm_cp,icu_pm_w_prime,icu_pm_p_max,start_date,icu_sync_date,timezone,file_type,external_id,compliance,gear,description,PaceAtHRZ2,WindDirection,WindSpeed,VO2MaxGarmin,PercentWmin,TSS,TrainingLoad
i131616846,2026-03-12T00:00:00,"Full work walk","Walk",6000,3219.0,6000,,,0.5365,,,,,,,,,,30.0,15,true,,0.5365,19.594986,12.308106,,,,true,false,false,,,,,2.8483894,,,6,57,176,148,156,166,175,180,185,196,,,,,,,,,,,,,,,,75.069534,false,false,false,,1200,600,,,,,,,,2026-03-12T07:00:00Z,2026-03-12T23:50:03Z,,,,,,,,,,,"NaN",,
i131099392,2026-03-10T16:22:56,"Intervals Run","Run",2943,7458.05,3123,96.0,3.658,2.49,true,183,150,82.94681,545,true,262,275,785453,85.669785,60,,6,2.5341659,26.075287,12.852865,284,1.0496184,1.8333334,,false,false,,321,13400,,2.616813,60,42,80,55,182,123,151,171,190,,,197,110,1156,1591,86,0,,,147,182,1849,620,121,24,,,75.069534,false,false,false,2995,0,0,,,,271,265,22421,402,2026-03-10T23:22:56Z,2026-03-11T00:15:50Z,,"fit","22132943801",,"Brooks Ghost 15","Made the Hard fairly hard and the easy fairly easy 👍🏻\n\nI think I could go easier on the easy (even if a run/walk) and make the hard harder - improvement for next time",,,,47.26586151123047,61.90298507462686,,
i130491497,2026-03-08T08:32:26,"Morning Run","Run",4194,11318.22,4334,58.400017,3.116,2.6938727,true,185,174,84.605705,904,true,276,284,1183171,88.47352,91,,6,2.6986694,24.06987,11.999164,284,1.0289855,1.6321839,false,false,false,,321,13400,,2.616813,91,100,129,54,182,123,151,171,190,,,197,26,74,964,3130,0,,,63,49,2677,1252,153,0,,,75.069534,false,false,false,4280,0,0,,,,284,278,24379,384,2026-03-08T15:32:26Z,2026-03-08T18:46:16Z,,"fit","22106809236",,"Brooks Ghost 15","Solid Run with Clayton and Lauren, foot started barely going numb around 4ish miles - but was not really all that numb until after 6 miles. \n\nDid some mild dynamic and static stretching prior to the run. Also had good step count all this week which I also think probably helped out.\n\nFelt pretty decent on the run today - definitely tired near the end, especially hip flexors and Heart, but all in all I was impressed by my run.",,,,47.03803253173828,84.38805970149254,,
i129619960,2026-03-04T16:01:56,"Intervals Run","Run",3095,7550.95,3219,92.0,3.35,2.42,true,181,151,77.874916,550,true,251,270,783672,84.11215,61,,6,2.4397254,21.171198,10.843115,279,1.0756972,1.7880795,,false,false,,321,13400,,2.616813,61,47,78,51,182,123,151,171,190,,,197,302,1115,1401,277,0,,,496,86,1681,734,98,0,,,75.069534,false,false,false,3119,0,0,,,,278,272,23780,370,2026-03-05T00:01:56Z,2026-03-12T23:54:06Z,,"fit","22065418077",,"Brooks Ghost 15","Felt much better today - intervals were hard but doable.\n\nFoot went numb later than normal too which is nice",,,,47.23002624511719,80.56716417910448,,
i128350963,2026-02-27T16:11:50,"Brea Running","Run",4790,10607.25,4901,142.0,3.004,2.164,true,175,159,76.52178,825,true,225,245,1100480,76.32399,78,,10,2.2144573,26.65912,10.597266,279,1.0888889,1.5408806,,false,false,,321,13400,,2.616813,78,82,100,56,182,123,151,171,190,,,197,36,1043,3579,132,0,,,796,973,2778,239,4,0,,,75.069534,false,false,false,4900,0,0,,,,256,251,20958,344,2026-02-28T00:11:50Z,2026-03-01T01:40:21Z,,"fit","22008785918",,"Brooks Ghost 15",,,,,47.282310485839844,98.1044776119403,,
i127908539,2026-02-25T16:11:10,"Afternoon Solo Run","Run",3236,7847.58,3400,98.0,3.471,2.414,true,182,155,75.52433,582,true,239,274,790515,85.35825,65,,9,2.4250865,21.658136,9.189393,279,1.1464435,1.7677419,false,false,false,,321,13400,,2.8234036,65,52,70,53,182,123,151,171,190,,,197,123,1147,1407,559,0,,,857,72,889,1261,157,0,,,75.069534,false,false,false,3303,0,0,22,181,,264,259,21088,398,2026-02-26T00:11:10Z,2026-02-26T01:14:14Z,,"fit","21987639649",,"Brooks Ghost 15","Listening to an interview with Alisa Vitti on today’s run - really great stuff as always!\n\nFor future reference, my foot sizes are defined here:\nC:\Users\skyle\Desktop\AI Coach\Images\Foot\nSnails Pace - Brea\n\nFoot Dimensions:\nhttps://my.volumental.com/en/default_fitstation/c8fcc78a-461e-494c-9d4c-aa58c4f60e76/?utm_medium=myvemail\n\nLeft = 9 E\nRight = 8.5 2E\n\nHigh Arch vs population - larger on Right foot\nVery High Instep Height vs population - larger on Right foot - 70mm\nBall width Very High v Population - 107mm\nAmong some more data in the link",,,,47.414276123046875,79.47761194029852,,
i127132067,2026-02-22T11:06:23,"Phase 1 - Workout #7 (Optional - Abs)","WeightTraining",600,,600,,,,,,,,56,,,,,,,,,,19.963802,8.227214,,,,,false,false,,,,,2.8483894,,,,56,176,148,156,166,175,180,185,196,,,,,,,,,,,,,,,,75.069534,false,false,false,0,0,0,,,,,,,,2026-02-22T19:06:23Z,2026-02-22T20:29:49Z,,"fit","2026-02-22-110623-Strength Training-Hevy.fit",,,,,,,0.0,"NaN",,
i127110722,2026-02-22T10:52:05,"Phase 1 - Workout #6","WeightTraining",774,,774,,,,,,,,72,,,,,,,,,,19.963802,8.227214,,,,,false,false,,,,,2.8483894,,,,56,176,148,156,166,175,180,185,196,,,,,,,,,,,,,,,,75.069534,false,false,false,0,0,0,,,,,,,,2026-02-22T18:52:05Z,2026-02-22T19:05:12Z,,"fit","2026-02-22-105205-Strength Training-Hevy.fit",,,,,,,0.0,"NaN",,
i126853317,2026-02-21T08:36:33,"Morning Run 😅","Run",2415,6190.94,2469,108.0,3.219,2.562,true,184,167,83.26375,483,true,275,282,667749,87.850464,52,,9,2.5635362,23.029543,8.42545,279,1.0254545,1.6886227,,false,false,,321,13400,,2.8234036,52,49,59,59,182,123,151,171,190,,,197,33,92,1201,1089,0,,,26,215,1479,525,140,30,,,75.069534,false,false,false,2428,0,0,,,,269,263,22006,458,2026-02-21T16:36:33Z,2026-02-21T17:19:31Z,,"fit","21940653672",,"Brooks Ghost 15",,,,,47.09490966796875,70.89552238805969,,
i126682909,2026-02-20T16:04:06,"Afternoon Run 😩","Run",1958,5347.29,2133,58.0,3.182,2.532,true,181,162,84.355896,415,true,263,289,560086,90.03115,44,,9,2.730996,18.580694,7.375511,279,1.0988593,1.7839506,,false,false,,321,13400,,2.8234036,44,39,53,56,182,123,151,171,190,,,197,57,272,629,1000,0,,,47,57,842,969,39,4,,,75.069534,false,false,false,2132,0,0,,,,279,273,23884,400,2026-02-21T00:04:06Z,2026-02-21T00:40:48Z,,"fit","21932837153",,"Brooks Ghost 15",,,,,47.16278839111328,86.3731343283582,,
