time,watts,cadence,heartrate,distance,altitude,lat,lng,velocity_smooth,temp,torque,fixed_altitude,GarminGCT,GarminRunCadenceSpm,GarminStepLength,GarminVerticalRatio,Garminverticaloscillation
0,0,43,81,0.0,125.2,,,0.0,26,0,,,86.0,,,
1,0,43,83,0.0,125.4,,,0.0,26,0,,,86.0,,,
2,0,43,84,0.0,125.4,33.927654,-117.89339,0.0,26,0,125.0,,86.0,,,
3,0,0,85,0.0,125.4,33.927654,-117.89339,0.0,26,0,125.0,,0.0,,,
4,0,0,86,5.12,125.4,33.927692,-117.89335,0.0,26,0,125.0,,0.0,,,
5,0,0,87,9.27,125.4,33.927708,-117.8933,0.0,26,0,125.0,,0.0,,,
6,0,0,87,11.58,125.6,33.92769,-117.89329,2.389,26,0,125.0,,0.0,,,
7,288,79,88,14.12,125.6,33.92768,-117.893265,2.678,26,35,124.0,288.0,158.0,1016.0,9.27,94.3
8,293,80,88,16.76,125.6,33.927673,-117.893234,2.678,26,35,124.0,285.0,160.0,1004.0,9.21,92.4
9,290,80,89,19.19,125.8,33.92766,-117.89321,2.594,27,35,124.0,287.0,160.0,972.0,9.34,90.9
10,277,81,91,21.07,125.8,33.927654,-117.89319,2.575,26,33,124.0,283.0,162.0,953.0,9.37,89.4
11,262,80,93,23.5,125.8,33.927647,-117.893166,2.519,26,31,124.0,285.0,160.0,933.0,9.44,88.1
12,252,80,94,25.72,125.8,33.927635,-117.89315,2.417,26,30,124.0,287.0,160.0,895.0,9.65,86.3
13,247,80,96,28.21,125.8,33.927624,-117.89313,2.361,26,29,124.0,289.0,160.0,874.0,9.73,85.0
14,252,81,98,30.73,125.8,33.927616,-117.8931,2.417,26,30,124.0,284.0,162.0,884.0,9.59,84.8
15,255,81,99,33.55,126.0,33.927605,-117.89307,2.435,26,30,123.0,284.0,162.0,890.0,9.54,85.0
16,260,81,101,36.05,126.0,33.927597,-117.89304,2.454,26,31,123.0,283.0,162.0,897.0,9.53,85.5
17,273,80,103,38.81,126.2,33.92759,-117.89301,2.51,26,33,123.0,285.0,160.0,929.0,9.47,88.0
18,274,80,105,41.09,126.2,33.927586,-117.89299,2.529,26,33,123.0,285.0,160.0,936.0,9.42,88.2
19,272,80,108,43.86,126.4,33.92758,-117.89296,2.51,26,32,124.0,285.0,160.0,929.0,9.47,88.0
20,276,81,109,46.65,126.4,33.92758,-117.89293,2.529,26,33,124.0,281.0,162.0,925.0,9.4,87.0
21,279,81,110,49.51,126.8,33.92758,-117.8929,2.529,26,33,124.0,281.0,162.0,925.0,9.4,87.0
22,283,81,111,52.18,126.8,33.92759,-117.892876,2.547,26,33,124.0,281.0,162.0,931.0,9.35,87.2
23,290,81,112,54.85,126.8,33.927593,-117.892845,2.575,26,34,124.0,280.0,162.0,942.0,9.32,87.8
24,291,81,113,57.38,126.8,33.9276,-117.89282,2.575,26,34,124.0,283.0,162.0,953.0,9.37,89.4
25,291,81,114,60.55,126.8,33.92761,-117.892784,2.575,26,34,124.0,283.0,162.0,953.0,9.37,89.4
26,293,81,115,63.17,126.8,33.927612,-117.89275,2.585,26,35,124.0,283.0,162.0,957.0,9.35,89.5
27,297,81,116,65.76,127.0,33.92762,-117.89273,2.613,26,35,124.0,283.0,162.0,967.0,9.27,89.7
28,299,82,117,68.63,127.0,33.927616,-117.8927,2.613,26,35,124.0,279.0,164.0,955.0,9.26,88.5
29,301,82,118,71.27,127.2,33.927612,-117.89267,2.613,26,35,124.0,279.0,164.0,955.0,9.26,88.5
30,304,82,119,73.8,127.4,33.927612,-117.89264,2.622,26,35,124.0,279.0,164.0,959.0,9.23,88.5
31,312,82,120,76.64,127.6,33.927605,-117.89261,2.622,26,36,124.0,279.0,164.0,959.0,9.23,88.5
32,322,82,120,79.43,127.8,33.9276,-117.892586,2.622,26,37,124.0,279.0,164.0,959.0,9.23,88.5
33,334,82,121,82.25,128.0,33.927593,-117.892555,2.641,26,39,124.0,279.0,164.0,966.0,9.18,88.7
34,345,81,122,84.86,128.2,33.92759,-117.892525,2.659,26,41,124.0,281.0,162.0,984.0,9.23,90.9
35,354,81,123,87.34,128.4,33.927586,-117.8925,2.659,26,42,124.0,281.0,162.0,984.0,9.23,90.9
36,360,81,123,90.15,128.6,33.927578,-117.89247,2.65,26,42,124.0,282.0,162.0,981.0,9.22,90.5
37,362,81,124,92.24,128.6,33.92758,-117.89245,2.65,26,43,124.0,278.0,162.0,969.0,9.2,89.2
38,362,82,124,94.5,128.8,33.927586,-117.892426,2.631,26,42,124.0,276.0,164.0,951.0,9.15,87.1
39,360,81,125,96.98,129.0,33.92758,-117.892395,2.594,26,42,124.0,280.0,162.0,948.0,9.27,87.9
40,357,82,125,99.85,129.0,33.92759,-117.892365,2.575,26,42,124.0,277.0,164.0,930.0,9.26,86.2
41,358,81,126,102.25,129.0,33.927593,-117.892334,2.566,26,42,125.0,280.0,162.0,938.0,9.34,87.7
42,360,81,126,105.25,129.2,33.927586,-117.8923,2.575,26,42,125.0,280.0,162.0,942.0,9.32,87.8
43,363,81,127,108.24,129.4,33.927586,-117.89227,2.594,26,43,125.0,280.0,162.0,948.0,9.27,87.9
44,364,81,128,110.96,129.4,33.927586,-117.89224,2.603,26,43,125.0,280.0,162.0,952.0,9.24,88.0
