time,watts,cadence,heartrate,distance,altitude,lat,lng,velocity_smooth,temp,torque,fixed_altitude,GarminGCT,GarminRunCadenceSpm,GarminStepLength,GarminVerticalRatio,Garminverticaloscillation
0,0,0,80,0.43,125.2,33.92775,-117.893486,0.0,29,0,125.0,,0.0,,,
1,0,0,81,0.43,125.2,33.92775,-117.89351,0.0,29,0,126.0,,0.0,,,
2,0,0,80,0.98,125.0,33.92775,-117.8935,0.0,29,0,126.0,,0.0,,,
3,0,0,80,1.57,125.0,33.92774,-117.89351,0.0,29,0,126.0,,0.0,,,
4,0,0,80,2.05,124.8,33.92773,-117.89351,0.0,29,0,125.0,,0.0,,,
5,0,0,80,3.13,125.0,33.92772,-117.8935,0.0,29,0,125.0,,0.0,,,
6,0,0,81,3.95,125.0,33.92771,-117.8935,0.0,29,0,125.0,,0.0,,,
7,0,0,81,5.06,125.2,33.927704,-117.89349,0.0,29,0,125.0,,0.0,,,
8,0,0,81,6.11,125.4,33.927696,-117.893486,0.56,29,0,125.0,,0.0,,,
9,0,0,81,7.53,125.4,33.927692,-117.89347,0.0,29,0,125.0,,0.0,,,
10,0,0,81,9.1,125.6,33.927685,-117.89345,0.42,29,0,125.0,,0.0,,,
11,0,0,80,11.43,125.6,33.92769,-117.893425,0.42,29,0,125.0,,0.0,,,
12,0,0,80,13.39,125.8,33.927696,-117.89341,0.756,29,0,125.0,,0.0,,,
13,0,80,80,15.12,125.8,33.927692,-117.89339,2.006,29,0,125.0,,160.0,,,
14,228,80,80,17.48,126.0,33.927696,-117.893364,2.006,29,27,125.0,300.0,160.0,752.0,10.56,79.4
15,235,80,80,19.46,126.0,33.927696,-117.89334,2.006,29,28,125.0,300.0,160.0,752.0,10.56,79.4
16,236,79,82,21.34,126.0,33.927696,-117.89332,1.95,29,29,125.0,301.0,158.0,731.0,10.71,78.3
17,227,79,83,23.52,126.0,33.927692,-117.893295,1.997,29,27,125.0,304.0,158.0,758.0,10.59,80.3
18,228,79,85,25.47,126.0,33.927696,-117.89327,1.997,29,28,124.0,304.0,158.0,758.0,10.59,80.3
19,237,79,86,27.77,126.0,33.927692,-117.89325,2.053,29,29,124.0,303.0,158.0,779.0,10.45,81.4
20,245,80,88,29.68,126.0,33.927685,-117.893234,2.09,29,29,124.0,298.0,160.0,783.0,10.36,81.2
21,246,80,90,31.64,126.0,33.927685,-117.89321,2.099,29,29,124.0,298.0,160.0,787.0,10.33,81.3
22,248,80,94,33.14,126.0,33.927677,-117.89319,2.099,29,30,124.0,298.0,160.0,787.0,10.33,81.3
23,245,80,97,35.46,126.0,33.927666,-117.893166,2.09,29,29,124.0,298.0,160.0,783.0,10.36,81.2
24,239,80,97,38.24,126.0,33.92766,-117.89314,2.034,29,29,124.0,299.0,160.0,762.0,10.51,80.1
25,240,80,98,41.24,126.0,33.927647,-117.89311,2.043,29,29,124.0,299.0,160.0,766.0,10.47,80.3
26,256,80,98,43.49,126.0,33.92764,-117.89309,2.155,29,31,124.0,297.0,160.0,808.0,10.19,82.4
27,281,80,98,45.71,126.4,33.92763,-117.893074,2.286,29,34,124.0,294.0,160.0,857.0,9.92,85.0
28,292,81,98,48.07,126.6,33.92762,-117.89304,2.305,29,34,123.0,287.0,162.0,843.0,9.8,82.6
29,295,81,98,50.35,126.6,33.927612,-117.89303,2.305,29,35,123.0,287.0,162.0,843.0,9.8,82.6
30,292,81,98,52.53,126.8,33.92761,-117.893,2.314,29,34,124.0,286.0,162.0,846.0,9.81,83.1
31,285,81,99,55.3,126.8,33.9276,-117.892975,2.314,29,34,124.0,286.0,162.0,846.0,9.81,83.1
32,283,81,100,57.27,126.6,33.927605,-117.89295,2.314,29,33,124.0,286.0,162.0,846.0,9.81,83.1
33,281,81,101,59.42,126.6,33.927605,-117.89293,2.314,29,33,124.0,286.0,162.0,846.0,9.81,83.1
34,277,82,102,61.94,126.4,33.927605,-117.8929,2.314,29,32,124.0,286.0,164.0,846.0,9.81,83.1
35,275,82,103,64.08,126.4,33.927612,-117.89288,2.314,29,32,124.0,286.0,164.0,846.0,9.81,83.1
36,273,82,105,66.43,126.4,33.927612,-117.89285,2.305,29,32,124.0,287.0,164.0,843.0,9.8,82.6
37,274,82,109,68.75,126.4,33.927616,-117.89283,2.314,29,32,124.0,286.0,164.0,846.0,9.81,83.1
38,273,82,112,70.95,126.6,33.927628,-117.89281,2.305,29,32,124.0,287.0,164.0,843.0,9.8,82.6
39,276,82,113,73.74,127.0,33.92763,-117.89278,2.305,29,32,124.0,287.0,164.0,843.0,9.8,82.6
40,282,82,114,76.4,127.2,33.927635,-117.892746,2.305,29,33,124.0,287.0,164.0,843.0,9.8,82.6
41,300,82,113,79.04,127.6,33.927635,-117.892715,2.389,29,35,124.0,285.0,164.0,873.0,9.63,84.2
42,311,82,113,81.5,127.8,33.927628,-117.89269,2.435,29,36,124.0,284.0,164.0,890.0,9.54,85.0
43,316,82,113,83.79,127.8,33.92763,-117.89267,2.454,29,37,124.0,283.0,164.0,897.0,9.53,85.5
44,319,82,114,86.12,127.8,33.92763,-117.89264,2.454,29,37,124.0,283.0,164.0,897.0,9.53,85.5
45,319,82,114,88.23,128.0,33.927628,-117.89262,2.445,29,37,124.0,280.0,164.0,883.0,9.5,84.0
46,320,83,115,90.34,128.2,33.92763,-117.89259,2.435,29,37,124.0,281.0,166.0,880.0,9.49,83.5
47,320,82,116,92.88,128.2,33.927624,-117.89257,2.417,29,37,124.0,281.0,164.0,873.0,9.54,83.4
48,321,82,117,95.23,128.6,33.927628,-117.89255,2.407,29,37,124.0,281.0,164.0,870.0,9.57,83.3
49,323,82,118,97.75,128.6,33.92762,-117.89252,2.407,29,38,124.0,284.0,164.0,880.0,9.62,84.7
50,325,82,119,99.95,128.8,33.927612,-117.892494,2.407,29,38,124.0,284.0,164.0,880.0,9.62,84.7
51,327,82,122,102.18,128.8,33.927616,-117.89247,2.407,29,38,124.0,284.0,164.0,880.0,9.62,84.7
52,329,82,123,104.9,129.0,33.927612,-117.89244,2.398,29,38,124.0,284.0,164.0,877.0,9.65,84.6
53,331,82,125,106.97,129.0,33.927612,-117.89241,2.398,29,39,125.0,284.0,164.0,877.0,9.65,84.6
54,329,82,126,109.65,129.2,33.927616,-117.89239,2.389,29,38,125.0,285.0,164.0,873.0,9.63,84.2
55,328,81,126,112.59,129.2,33.927616,-117.89236,2.389,29,39,125.0,285.0,162.0,873.0,9.63,84.2
56,328,81,127,115.22,129.2,33.927624,-117.892334,2.389,29,39,125.0,285.0,162.0,873.0,9.63,84.2
57,329,81,127,117.15,129.4,33.92762,-117.89231,2.407,29,39,125.0,284.0,162.0,880.0,9.62,84.7
58,328,81,127,119.42,129.4,33.927612,-117.89229,2.407,29,39,125.0,284.0,162.0,880.0,9.62,84.7
59,324,81,127,121.46,129.4,33.927616,-117.892265,2.398,29,38,125.0,284.0,162.0,877.0,9.65,84.6
60,318,81,128,123.91,129.6,33.927612,-117.892235,2.389,29,37,125.0,285.0,162.0,873.0,9.63,84.2
61,313,81,127,126.18,129.6,33.92761,-117.89221,2.379,29,37,125.0,288.0,162.0,881.0,9.71,85.6
62,309,81,127,128.64,129.6,33.927612,-117.89219,2.379,29,36,125.0,288.0,162.0,881.0,9.71,85.6
63,305,81,128,131.31,129.6,33.92761,-117.89216,2.379,29,36,125.0,288.0,162.0,881.0,9.71,85.6
64,300,80,127,133.44,129.6,33.92761,-117.892136,2.379,29,36,125.0,288.0,160.0,881.0,9.71,85.6
65,295,81,127,135.5,129.4,33.92761,-117.89212,2.379,29,35,125.0,288.0,162.0,881.0,9.71,85.6
66,286,81,128,137.1,129.2,33.92761,-117.89209,2.379,29,34,125.0,288.0,162.0,881.0,9.71,85.6
67,276,81,127,139.34,129.2,33.927612,-117.89207,2.379,29,33,126.0,288.0,162.0,881.0,9.71,85.6
68,267,80,127,141.87,129.0,33.927612,-117.892044,2.361,29,32,126.0,289.0,160.0,874.0,9.73,85.0
