time,cadence,heartrate,distance,altitude,lat,lng,velocity_smooth,temp,GarminRunCadenceSpm
0,0,76,0.0,124.8,,,0.0,27,0.0
1,0,76,0.0,124.8,,,0.0,28,0.0
2,0,76,0.0,124.8,,,0.0,27,0.0
3,0,76,0.0,124.8,,,0.0,27,0.0
4,0,76,0.0,124.8,,,0.0,28,0.0
5,0,76,0.0,124.8,,,0.0,27,0.0
6,0,75,0.0,124.8,,,0.0,28,0.0
7,0,75,0.0,124.8,,,0.0,28,0.0
8,0,75,0.0,124.8,,,0.0,28,0.0
9,0,75,0.0,124.8,,,0.0,28,0.0
10,0,76,0.0,124.6,,,0.0,28,0.0
11,0,77,0.0,124.6,,,0.0,28,0.0
12,0,78,0.0,124.6,,,0.0,28,0.0
13,0,78,0.0,124.6,,,0.0,28,0.0
14,0,78,0.0,124.6,,,0.0,28,0.0
15,0,78,0.0,124.6,,,0.0,28,0.0
16,0,79,0.0,124.6,,,0.0,28,0.0
17,0,80,0.0,124.6,,,0.0,28,0.0
18,0,83,0.0,124.6,,,0.0,28,0.0
19,0,84,0.0,124.6,,,0.0,28,0.0
20,0,83,0.0,124.6,,,0.0,28,0.0
21,0,79,0.0,124.6,,,0.0,28,0.0
22,0,77,0.0,124.6,,,0.0,28,0.0
23,0,76,0.0,124.6,,,0.0,28,0.0
24,0,76,0.0,124.6,,,0.0,28,0.0
25,0,76,0.0,124.6,,,0.0,28,0.0
26,0,76,0.0,124.6,,,0.0,28,0.0
27,0,75,0.0,124.4,,,0.0,28,0.0
28,0,75,0.0,124.4,,,0.0,28,0.0
29,0,75,0.0,124.4,,,0.0,28,0.0
30,0,75,0.0,124.4,,,0.0,28,0.0
31,0,75,0.0,124.4,,,0.0,28,0.0
32,0,75,0.0,124.2,,,0.0,28,0.0
33,0,75,0.0,124.2,,,0.0,28,0.0
34,0,76,0.0,124.2,,,0.0,28,0.0
35,0,76,0.0,124.2,,,0.0,28,0.0
36,0,76,0.0,124.2,,,0.0,28,0.0
37,0,76,0.0,124.4,,,0.0,28,0.0
38,0,76,0.0,124.4,,,0.0,28,0.0
39,0,76,0.0,124.4,,,0.0,28,0.0
40,0,75,0.0,124.4,,,0.0,28,0.0
41,0,75,0.0,124.4,,,0.0,28,0.0
42,0,77,0.0,124.4,,,0.0,28,0.0
43,0,77,0.0,124.4,,,0.0,28,0.0
44,0,77,0.0,124.4,,,0.0,28,0.0
45,0,78,0.0,124.4,,,0.0,28,0.0
46,0,78,0.0,124.4,,,0.0,28,0.0
47,0,77,0.0,124.4,,,0.0,28,0.0
48,0,77,0.0,124.4,,,0.0,28,0.0
49,0,76,0.0,124.4,,,0.0,28,0.0
50,0,76,0.0,124.4,,,0.0,28,0.0
51,0,76,0.0,124.2,,,0.0,28,0.0
52,0,75,0.0,124.2,,,0.0,28,0.0
53,0,75,0.0,124.4,,,0.0,28,0.0
54,0,74,0.0,124.4,,,0.0,28,0.0
55,0,74,0.0,124.4,,,0.0,28,0.0
56,0,74,0.0,124.4,,,0.0,28,0.0
57,0,74,0.0,124.4,,,0.0,28,0.0
58,0,75,0.0,124.4,,,0.0,28,0.0
59,0,76,0.0,124.4,,,0.0,28,0.0
60,0,76,0.0,124.4,,,0.0,28,0.0
61,0,77,0.0,124.4,,,0.0,28,0.0
62,0,77,0.0,124.4,,,0.0,28,0.0
63,0,77,0.0,124.4,,,0.0,28,0.0
64,0,77,0.0,124.2,,,0.0,28,0.0
65,0,76,0.0,124.2,,,0.0,28,0.0
66,0,76,0.0,124.0,,,0.0,28,0.0
67,0,76,0.0,124.0,,,0.0,28,0.0
68,0,76,0.0,124.2,33.927784,-117.89364,0.0,28,0.0
69,0,76,0.0,124.2,33.92778,-117.8936,0.0,28,0.0
70,0,77,0.44,124.2,33.927788,-117.893616,0.0,28,0.0
71,0,77,0.44,124.2,33.927776,-117.893616,0.0,28,0.0
72,0,78,0.44,124.2,33.927765,-117.893616,0.0,28,0.0
73,0,78,1.29,124.2,33.92776,-117.8936,0.0,28,0.0
74,0,79,1.67,124.2,33.927757,-117.89359,0.0,28,0.0
75,0,79,2.16,124.2,33.92776,-117.893585,0.0,28,0.0
76,0,79,2.93,124.2,33.92776,-117.89359,0.0,28,0.0
77,0,79,2.93,124.2,33.92776,-117.8936,0.0,28,0.0
78,0,79,2.93,124.2,33.927757,-117.89361,0.0,28,0.0
79,0,79,2.93,124.2,33.927753,-117.89361,0.0,28,0.0
80,0,79,2.93,124.2,33.927753,-117.89361,0.0,28,0.0
81,0,81,2.93,124.2,33.92775,-117.89361,0.0,28,0.0
82,0,83,2.93,124.2,33.927746,-117.89361,0.0,28,0.0
83,0,81,3.12,124.2,33.927742,-117.89361,0.0,28,0.0
84,0,81,3.8,124.2,33.92774,-117.89361,0.0,28,0.0
85,0,81,4.26,124.2,33.927734,-117.893616,0.0,28,0.0
86,0,81,4.69,124.2,33.92773,-117.893616,0.0,28,0.0
87,0,81,5.19,124.2,33.92773,-117.893616,0.0,28,0.0
88,0,81,5.19,124.2,33.92773,-117.89361,0.0,28,0.0
89,0,82,5.19,124.2,33.927734,-117.89361,0.0,28,0.0
90,0,83,5.39,124.2,33.92773,-117.89361,0.0,28,0.0
91,0,83,5.39,124.2,33.92773,-117.89361,0.0,28,0.0
92,0,84,5.39,124.2,33.927734,-117.89361,0.0,28,0.0
93,0,85,5.39,124.2,33.92774,-117.8936,0.0,28,0.0
94,0,85,5.79,124.2,33.92774,-117.89361,0.0,28,0.0
95,0,85,5.79,124.2,33.927742,-117.89361,0.0,28,0.0
96,0,85,5.79,124.2,33.927742,-117.89361,0.0,28,0.0
97,0,84,5.79,124.2,33.927746,-117.89361,0.0,28,0.0
98,0,84,5.81,124.2,33.92775,-117.89361,0.0,28,0.0
